Country,Ladder,Log_GDP,Soc_Support,Health_Expect,Freedom,Generosity,Conf_Gov,Pos_Affect,Neg_Affect,Corrupt,sdLadder,cvLadder,Gini_Household,Int_Score
Afghanistan,4.2201685905,7.4972877502,0.5590717793,49.8712654114,0.5225661993,0.0573931523,0.3249895573,0.5649526715,0.3483322859,0.793245554,1.7962194681,0.4256274104,0.509206295013428,1.7120361328125
Albania,4.511100769,9.2822999954,0.6384114623,68.6983795166,0.7298189402,-0.017927289,0.4009098113,0.6752437353,0.321705997,0.9010707736,2.6466681957,0.5867012143,0.4165403545,3.82881204287211
Algeria,5.3881707191,9.5491380692,0.748149693,64.8299484253,0.713054358959198,-0.03440698236227,0.406998393462917,0.6688381433,0.3713720143,0.769240498542785,2.1094720364,0.3915005922,0.6110133529,4.40073470274607
Angola,3.7948379517,8.8473539352,0.7546154857,45.0929946899,0.3745415509,-0.1644954979,0.572345674,0.578517139,0.3678641319,0.8340756297,2.1967113018,0.5788682699,0.4406985939,1.37590646743774
Argentina,6.4272212982,10.1466522216797,0.8828191161,67.4439926147,0.8477022052,-0.034153282642365,0.4195618331,0.8419067264,0.3116464615,0.8509244919,2.1271085739,0.3309530616,0.3320708275,7.34420855840047
Armenia,4.3254718781,8.9895687103,0.7092183232,65.4094696045,0.610986948,-0.1558144242,0.1847130358,0.5936002731,0.4372278154,0.921421051,2.1263642311,0.4915912747,0.3815636337,3.24518322944641
Australia,7.2500801086,10.6962814331,0.9423342347,72.5216293335,0.9223157167,0.2230863124,0.4527317584,0.7908682823,0.2360857874,0.3985451162,1.6988278627,0.2343184948,0.5209141374,8.27216982841492
Austria,7.0480718613,10.6945953369,0.9263185859,71.645652771,0.8885139823,0.0715372786,0.4326382279,0.7559025884,0.1974238455,0.5236409903,1.7044001818,0.2418250293,0.2922942936,8.3354119459788
Azerbaijan,5.3038949966,9.6911973953,0.7772710323,62.0449256897,0.7125731707,-0.2282276005,0.7340521216,0.5975934863,0.1911171973,0.6067708135,1.613181591,0.3041503727,0.2887160182,5.25968012710412
Bahrain,6.1696734428,10.706776619,0.8627001047,65.9639205933,0.8886910677,0.021681122481823,0.385509595452748,0.7871872187,0.2834663391,0.606266260147095,2.2592256069,0.3661823571,0.4824555218,6.76660180091858
Bangladesh,4.5561408997,8.100569725,0.6491169333,62.0461883545,0.8747004867,-0.0798178464,0.8454290628,0.5599390864,0.2350224555,0.6878536344,1.9825828075,0.4351451993,0.4401774406,3.76299897829692
Belarus,5.1778993607,9.6846981049,0.9265511036,65.7647705078,0.6582288146,-0.1330183297,0.4526690245,0.5538702011,0.1821061224,0.6640551686,1.7776311636,0.3433112502,0.3164312541,5.39719484746456
Belgium,6.9489364624,10.6321783066,0.9289640784,71.5216751099,0.8657590151,-0.0642542318,0.4191775024,0.7645900846,0.2596533895,0.4966591001,1.4970237017,0.2154320627,0.3486298025,8.02403608957927
Belize,5.9556465149,8.9926204681,0.756932497,58.8650474548,0.8735690713,0.0042675301,0.3842671812,0.7549773455,0.2816044092,0.7821053863,2.4552567005,0.4122569561,0.4460259974,5.35074904561043
Benin,4.0073575974,7.6215233803,0.4928158522,50.7692451477,0.7797952294,-0.0385210477,0.6374453902,0.6082369685,0.4557676017,0.837715745,2.1917541027,0.5469325185,0.464345634,1.4507257938385
Bhutan,5.0821285248,8.9360837936,0.8475744128,60.5960884094,0.8301015496,0.2880955935,0.946393013,0.8096414804,0.3115893006,0.6339557767,1.4748468399,0.2902025878,0.4225142896,5.18132386108239
Bolivia,5.7697234154,8.7970914841,0.7959587574,60.0456199646,0.8817487359,-0.0398950763,0.4017422795,0.7830088735,0.3764122427,0.8525929451,2.0505731106,0.3554023206,0.4309495687,5.21963015198708
Bosnia and Herzegovina,5.1808652878,9.2401819229,0.8077051044,67.7755813599,0.6334537268,0.1407282948,0.2121884972,0.6407643557,0.3040802777,0.9573119879,2.2160487175,0.4277371764,0.3987433314,4.61801121632258
Botswana,3.4989366531,9.624712944,0.7683027983,55.1936225891,0.8516948819,-0.2584221363,0.8031308055,0.6856667399,0.2518365979,0.7291718125,2.6857914925,0.7676022053,0.6584202647,3.19157799084981
Brazil,6.3748173714,9.525510788,0.9124551415,64.8309249878,0.8065715432,-0.1103235856,0.2641402483,0.7631124258,0.3020838201,0.7810927629,2.5180392265,0.394997865,0.4503168464,6.22387329737345
Bulgaria,4.8375606537,9.7663669586,0.9260360599,68.2297286987,0.7002655268,-0.1741926819,0.2212417722,0.6218551397,0.1716998518,0.9359881878,1.9175925255,0.3963965774,0.3533913791,6.03250761826833
Burkina Faso,4.205634594,7.3761167526,0.7644011378,51.1070022583,0.6446815133,0.0169653073,0.663711369,0.6160668731,0.3373001814,0.7205424309,1.9667134285,0.4676377475,0.5591579676,2.05385069052378
Burundi,2.9045350552,6.5991692543,0.5646781325,48.5931625366,0.4313849807,-0.0379922949,0.523312769285383,0.6556637287,0.2510946393,0.8076188564,2.2163455486,0.7630637884,0.7096520066,0.982623895009358
Cambodia,4.4612593651,8.1466779709,0.745901227,58.5369377136,0.9578214884,0.0778732151,0.469403701860967,0.8385519981,0.3982003033,0.8404168487,2.5605764389,0.5739582181,0.5486490726,3.93420189619064
Cameroon,4.8162322044,8.0200157166,0.6592997909,48.3382797241,0.7125070095,0.0041618114,0.6212210655,0.6615234613,0.3670933843,0.8794505596,2.3632509708,0.4906845987,0.5591928363,2.23173936208089
Canada,7.2448458672,10.6745128632,0.9243925214,72.2983016968,0.9124239087,0.196096614,0.6181952953,0.8245863914,0.2374228686,0.3850904405,1.7764630318,0.2452037036,0.6064463258,8.19759090741476
Central African Republic,2.6930611134,7.14500713348389,0.29018417,44.0232200623,0.6240565181,-0.032864663749933,0.7487545609,0.5786538124,0.4942680597,0.8590730429,2.250887394,0.8358100057,0.6605342031,0.327802896499634
Chad,4.0293502808,7.5842480659,0.6162048578,45.1081428528,0.5252221227,0.041371502,0.5130217671,0.5824582577,0.4675667584,0.8197888732,2.4355328083,0.6044480205,0.5033317804,1.1111040910085
Chile,6.579056263,10.0100355148,0.841388166,71.8311386108,0.6522897482,0.0897446275,0.2035388649,0.8692288995,0.2830421031,0.8581249714,1.9862554073,0.3019058108,0.4801385701,6.90706670284271
China,5.3249559402,9.5610122681,0.7417030334,69.0667037964,0.75885546207428,-0.2452198118,0.40971736608936,0.8261443973,0.1456251591,0.770041048526764,1.9963380098,0.3749022484,0.5386265516,6.72903021176656
Colombia,6.2337150574,9.4862308502,0.8819003701,64.0060577393,0.8349661231,-0.1077970564,0.2612511814,0.7935314775,0.2942227721,0.8975538611,2.5687234402,0.4120694399,0.5586574078,6.19335552056631
Comoros,3.955640316,7.2113800049,0.7192178965,53.4983520508,0.5340409279,-0.0623590127,0.4648626447,0.6122413278,0.2118438184,0.6510092616,1.3854498863,0.3502466679,0.4288643897,2.82511095205943
Congo (Brazzaville),4.1194934845,8.7111301422,0.6154490113,53.8988647461,0.7859065533,-0.1168274358,0.4830752611,0.6103049517,0.3036667109,0.7903857231,2.6786000729,0.6502255797,0.484639436,2.60682960351308
Congo (Kinshasa),4.521935463,6.6329293251,0.8641545177,50.2900810242,0.6373667121,0.0062383385,0.2818249464,0.6462695003,0.2224114835,0.8749996424,1.6297284365,0.3604050577,0.4645963609,3.3340506752332
Costa Rica,7.135617733,9.6092004776,0.9007012844,69.6617736816,0.872971952,-0.0310223047,0.2790275812,0.8735843897,0.2814222872,0.7805620432,2.1436471939,0.3004150689,0.5031618476,7.63838171958923
Croatia,5.2054381371,9.9247589111,0.7683634162,67.5917434692,0.6935230494,-0.1003160849,0.3648684025,0.6088861823,0.2940193415,0.8485455513,1.7850501537,0.3429202437,0.3216996491,5.13945490121841
